ID,Text,Translate
PC_eOPTMENU_CONTROLLER_CONFIG(0),Gamepad Options,
PC_eOPTMENU_BUTTON_CONFIG(0),Button Configuration,
PC_eOPTMENU_KEYBORD_CONFIG(0),Keyboard Options,
PC_eOPTMENU_KEY_CONFIG(0),Key Configuration,
PC_eOPTMENU_MOUSE_CONFIG(0),Mouse Options,
PC_eOPTMENU_COMMAND_BUTTON_CONFIG(0),Command Buttons,
PC_eOPTMENU_COMMAND_KEY_CONFIG(0),Command Keys,
PC_eOPTMENU_MOUSE_FLIP(0),Invert Mouse,
PC_eOPTMENU_BUTTON_SETTING(0),Button Configuration,
PC_eOPTMENU_LEFT_BUTTON(0),M1,
PC_eOPTMENU_RIGHT_BUTTON(0),M2,
PC_eOPTMENU_EXPANSION(2),M4,
PC_eOPTMENU_EXPANSION(3),M5,
PC_eOPTMENU_WHEEL_CLICK(0),M3,
PC_eOPTMENU_A_BUTTON(0),A Button,
PC_eOPTMENU_B_BUTTON(0),B Button,
PC_eOPTMENU_X_BUTTON(0),X Button,
PC_eOPTMENU_Y_BUTTON(0),Y Button,
PC_eOPTMENU_LB_BUTTON(0),Left Bumper,
PC_eOPTMENU_RB_BUTTON(0),Right Bumper,
PC_eOPTMENU_LT_BUTTON(0),Left Trigger,
PC_eOPTMENU_RT_BUTTON(0),Right Trigger,
PC_eOPTMENU_MENU_BUTTON(0),Menu Button,
PC_eOPTMENU_GUIDE_BUTTON(0),Guide Button,
PC_eOPTMENU_VIEW_BUTTON(0),View Button,
PC_eOPTMENU_START_BUTON(0),START Button,
PC_eOPTMENU_BACK_BUTTON(0),BACK Button,
PC_eOPTMENU_LEFT_STICK_PUSH(0),Left Stick Sensitivity,
PC_eOPTMENU_LEFT_STICK(0),Left Stick Button,
PC_eOPTMENU_LEFT_STICK_UP(0),Left Stick Up,
PC_eOPTMENU_LEFT_STICK_DOWN(0),Left Stick Down,
PC_eOPTMENU_LEFT_STICK_LEFT(0),Left Stick Left,
PC_eOPTMENU_LEFT_STICK_RIGHT(0),Left Stick Right,
PC_eOPTMENU_RIGHT_STICK_PUSH(0),Right Stick Sensitivity,
PC_eOPTMENU_RIGHT_STICK(0),Right Stick Button,
PC_eOPTMENU_RIGHT_STICK_UP(0),Right Stick Up,
PC_eOPTMENU_RIGHT_STICK_DOWN(0),Right Stick Down,
PC_eOPTMENU_RIGHT_STICK_LEFT(0),Right Stick Left,
PC_eOPTMENU_RIGHT_STICK_RIGHT(0),Right Stick Right,
PC_eOPTMENU_PAD_UP(0),D-Pad Up,
PC_eOPTMENU_PAD_DOWN(0),D-Pad Down,
PC_eOPTMENU_PAD_LEFT(0),D-Pad Left,
PC_eOPTMENU_PAD_RIGHT(0),D-Pad Right,
PC_eOPTMENU_SELECT_OR_CHECK(0),Confirm/Examine,
PC_eOPTMENU_SELECT(0),Confirm,
PC_eOPTMENU_CHECK(0),Examine,
PC_eOPTMENU_CANCEL_OR_RUN(0),Cancel/Dash,
PC_eOPTMENU_CANCEL(0),Cancel,
PC_eOPTMENU_RUN(0),Dash,
PC_eOPTMENU_FIELD_COMMAND(0),Path Actions,
PC_eOPTMENU_MENU(0),Open Menu,
PC_eOPTMENU_FAST_TRAVEL(0),Fast Travel,
PC_eOPTMENU_RADAR_OFF(0),Hide Radar,
PC_eOPTMENU_FORMATION_CHANGE(0),Formation,
PC_eOPTMENU_NOT_SET(0),Unassigned,
PC_eOPTMENU_MOVE_UP(0),Move Up,
PC_eOPTMENU_MOVE_DOWN(0),Move Down,
PC_eOPTMENU_MOVE_LEFT(0),Move Left,
PC_eOPTMENU_MOVE_RIGHT(0),Move Right,
PC_eOPTMENU_WORLD_MAP_MOVE_UP(0),Scroll World Map Up,
PC_eOPTMENU_WORLD_MAP_MOVE_DOWN(0),Scroll World Map Down,
PC_eOPTMENU_WORLD_MAP_MOVE_LEFT(0),Scroll World Map Left,
PC_eOPTMENU_WORLD_MAP_MOVE_RIGHT(0),Scroll World Map Right,
PC_eOPTMENU_NEXT_PAGE(0),Next Page,
PC_eOPTMENU_PREV_PAGE(0),Previous Page,
PC_eOPTMENU_REBOOT(0),Changes will take effect once you restart your computer.,
PC_eOPTMENU_REBOOT_REQUIRED(0),Changes will take effect once the game restarts.,
PC_eOPTMENU_QUIT(0),Quit game?,
PC_eOPTMENU_DATA_LOST_WARNING(0),Warning: Any unsaved progress will be lost.,
PC_eOPTMENU_SELECT_CHECK_TALK(0),Confirm/Examine/Talk,
PC_eOPTMENU_TORIKESHI(0),Cancel,
PC_eOPTMENU_TORIKESHI_EVENTSKIP(0),Cancel/Skip Event,
PC_eOPTMENU_TORIKESHI_RUN_EVENTSKIP(0),Cancel/Dash/Skip Event,
PC_eOPTMENU_FIELDCOMMAND_FORMATION_HELP(0),Path Action/Formation/Details,
PC_eOPTMENU_PARTYCHAT(0),Travel Banter,
PC_eOPTMENU_NEXTPAGE_BOOST_MINIMAP(0),Next Page/Boost+/Mini Map,
PC_eOPTMENU_PREVPAGE_BOOST(0),Previous Page/Boost-,
PC_eOPTMENU_GAME_CONFIG_GUIDE_MESSEAGE(0),Change the game's settings.,
PC_eOPTMENU_TEXT_LANG_GUIDE_MESSAGE(0),Change the text language.,
PC_eOPTMENU_VOICE_LANG_GUIDE_MESSAGE(0),Change the audio language.,
PC_eOPTMENU_TEXT_SPEED_GUIDE_MESSAGE(0),Set the text speed.,
PC_eOPTMENU_VIBLATION_GUIDE_MESSAGE(0),Enable/disable controller vibration.,
PC_eOPTMENU_SAVE_CURSOR_IN_BTL_GUIDE_MESSAGE(0),Set the battle cursor position.,
PC_eOPTMENU_GRAPH_CONFIG_GUIDE_MESSEAGE(0),Set graphics options.,
PC_eOPTMENU_DISPLAY_RESOLUTIONG_GUIDE_MESSEAGE(0),Set the screen resolution.,
PC_eOPTMENU_DRAW_RESOLUTIONG_GUIDE_MESSEAGE(0),Set the rendering resolution.,
PC_eOPTMENU_DISPLAY_MODEG_GUIDE_MESSEAGE(0),Set the display mode.,
PC_eOPTMENU_ANTI_ALIASINGG_GUIDE_MESSEAGE(0),Change anti-aliasing settings.,
PC_eOPTMENU_POST_PROCESSG_GUIDE_MESSEAGE(0),Change post-processing settings.,
PC_eOPTMENU_SHADOWG_GUIDE_MESSEAGE(0),Change shadow settings.,
PC_eOPTMENU_TEXTUREG_GUIDE_MESSEAGE(0),Change texture settings.,
PC_eOPTMENU_EFFECTG_GUIDE_MESSEAGE(0),Change effect settings.,
PC_eOPTMENU_AUTO_CONFIGG_GUIDE_MESSEAGE(0),Set rendering settings automatically.,
PC_eOPTMENU_DARKNESS_CORNER_GUIDE_MESSEAGE(0),Adjust the depth of corner shadows.,
PC_eOPTMENU_BRIGHTNESS_SCREEN_GUIDE_MESSEAGE(0),Adjust screen brightness.,
PC_eOPTMENU_VOLUME_SETTING_GUIDE_MESSAGE(0),Adjust audio volume settings.,
PC_eOPTMENU_VOLUME_VOICE_GUIDE_MESSAGE(0),Adjust voice volume.,
PC_eOPTMENU_VOLUME_BGM_GUIDE_MESSAGE(0),Adjust background music volume.,
PC_eOPTMENU_VOLUME_SE_GUIDE_MESSAGE(0),Adjust sound effect volume.,
PC_eOPTMENU_VOLUME_SE_ENV_GUIDE_MESSAGE(0),Adjust ambient sound volume.,
PC_eOPTMENU_CONTROLLER_CONFIG_GUIDE_MESSAGE(0),Change controller settings.,
PC_eOPTMENU_KEYBORD_CONFIG_GUIDE_MESSAGE(0),Change keyboard settings.,
PC_eOPTMENU_MOUSE_CONFIG_GUIDE_MESSAGE(0),Change mouse settings.,
PC_eOPTMENU_RESET_TO_DEFAULT_GUIDE_MESSAGE(0),Restore default settings (with some exceptions).,
PC_eOPTMENU_BUTTON_CONFIG_GUIDE_MESSAGE(0),Choose a button.,
PC_eOPTMENU_KEY_CONFIG_GUIDE_MESSAGE(0),Choose a key.,
PC_eOPTMENU_QUIT_GAME(0),Quit the Game,
PC_eOPTMENU_GRAPHIC_PRESET(0),Preset Rendering Options,
PC_eOPTMENU_GRAPHIC_PRESET_GUIDE_MESSAGE(0),Set resolution and rendering all at once.,
PC_eOPTMENU_TEXT_KR(0),Korean,
ST_eOPTMENU_CONTROLLER_CONFIG(0),Controller Options,
ST_eOPTMENU_VIBLATION_GUIDE_MESSAGE(0),Enable/disable controller vibration.,
ST_eOPTMENU_CONTROLLER_CONFIG_GUIDE_MESSAGE(0),Change controller settings.,
PC_eSAVELOAD_SAVE_MSG(4),Now saving...\nPlease wait...,
PC_MENU_REFLECT(0),Apply,
PC_TITLE_QUIT(0),Quit Game,
PC_eMAINMENU_QUITGAME_DETAIL(0),Quit game?\n(Warning: Any unsaved\nprogress will be lost.),
PC_eOPTMENU_CUSTOM(0),-,
TUR_AL_12_09_TSCN(0),"Fortunately, the bartender at the tavern can fix your reputation...for a fee!",
ST_ACHIEVEMENT_NAME(2),Setting Out – The Kindling,
ST_ACHIEVEMENT_DESCRIPTION(2),,
ST_ACHIEVEMENT_NAME(3),Gentle Guidance,
ST_ACHIEVEMENT_DESCRIPTION(3),,
ST_ACHIEVEMENT_NAME(4),The Savior,
ST_ACHIEVEMENT_DESCRIPTION(4),,
ST_ACHIEVEMENT_NAME(5),A Hill to Remember,
ST_ACHIEVEMENT_DESCRIPTION(5),,
ST_ACHIEVEMENT_NAME(6),Setting Out – The Search for Truth,
ST_ACHIEVEMENT_DESCRIPTION(6),,
ST_ACHIEVEMENT_NAME(7),Traces of the Tome,
ST_ACHIEVEMENT_DESCRIPTION(7),,
ST_ACHIEVEMENT_NAME(8),The Demonic Headmaster,
ST_ACHIEVEMENT_DESCRIPTION(8),,
ST_ACHIEVEMENT_NAME(9),For the Future's Sake,
ST_ACHIEVEMENT_DESCRIPTION(9),,
ST_ACHIEVEMENT_NAME(10),Setting Out – In Search of Treasure,
ST_ACHIEVEMENT_DESCRIPTION(10),,
ST_ACHIEVEMENT_NAME(11),The Merchants' Fair,
ST_ACHIEVEMENT_DESCRIPTION(11),,
ST_ACHIEVEMENT_NAME(12),The Most Precious Treasure,
ST_ACHIEVEMENT_DESCRIPTION(12),,
ST_ACHIEVEMENT_NAME(13),The Next Chapter,
ST_ACHIEVEMENT_DESCRIPTION(13),,
ST_ACHIEVEMENT_NAME(14),Setting Out – Renewed Purpose,
ST_ACHIEVEMENT_DESCRIPTION(14),,
ST_ACHIEVEMENT_NAME(15),Reasons for Wielding,
ST_ACHIEVEMENT_DESCRIPTION(15),,
ST_ACHIEVEMENT_NAME(16),The Twin Blades of Hornburg,
ST_ACHIEVEMENT_DESCRIPTION(16),,
ST_ACHIEVEMENT_NAME(17),To Protect Those in Need,
ST_ACHIEVEMENT_DESCRIPTION(17),,
ST_ACHIEVEMENT_NAME(18),Setting Out – Revenge,
ST_ACHIEVEMENT_DESCRIPTION(18),,
ST_ACHIEVEMENT_NAME(19),Faith Shall Be Your Shield,
ST_ACHIEVEMENT_DESCRIPTION(19),,
ST_ACHIEVEMENT_NAME(20),A Familiar Place,
ST_ACHIEVEMENT_DESCRIPTION(20),,
ST_ACHIEVEMENT_NAME(21),A Vow Fulfilled,
ST_ACHIEVEMENT_DESCRIPTION(21),,
ST_ACHIEVEMENT_NAME(22),Setting Out – Healing,
ST_ACHIEVEMENT_DESCRIPTION(22),,
ST_ACHIEVEMENT_NAME(23),The Quack,
ST_ACHIEVEMENT_DESCRIPTION(23),,
ST_ACHIEVEMENT_NAME(24),Life's Worth,
ST_ACHIEVEMENT_DESCRIPTION(24),,
ST_ACHIEVEMENT_NAME(25),His Hero's Words,
ST_ACHIEVEMENT_DESCRIPTION(25),,
ST_ACHIEVEMENT_NAME(26),Setting Out – For Master,
ST_ACHIEVEMENT_DESCRIPTION(26),,
ST_ACHIEVEMENT_NAME(27),Chasing Master's Footprints,
ST_ACHIEVEMENT_DESCRIPTION(27),,
ST_ACHIEVEMENT_NAME(28),Dragon Hunting,
ST_ACHIEVEMENT_DESCRIPTION(28),,
ST_ACHIEVEMENT_NAME(29),Master and Prentice,
ST_ACHIEVEMENT_DESCRIPTION(29),,
ST_ACHIEVEMENT_NAME(30),Setting Out – Freedom,
ST_ACHIEVEMENT_DESCRIPTION(30),,
ST_ACHIEVEMENT_NAME(31),Chasing the Dragonstones,
ST_ACHIEVEMENT_DESCRIPTION(31),,
ST_ACHIEVEMENT_NAME(32),Partner,
ST_ACHIEVEMENT_DESCRIPTION(32),,
ST_ACHIEVEMENT_NAME(33),A Wanderer's Life,
ST_ACHIEVEMENT_DESCRIPTION(33),,
ST_ACHIEVEMENT_NAME(34),Aelfric's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(34),,
ST_ACHIEVEMENT_NAME(35),Alephan's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(35),,
ST_ACHIEVEMENT_NAME(36),Bifelgan's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(36),,
ST_ACHIEVEMENT_NAME(37),Brand's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(37),,
ST_ACHIEVEMENT_NAME(38),Sealticge's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(38),,
ST_ACHIEVEMENT_NAME(39),Dohter's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(39),,
ST_ACHIEVEMENT_NAME(40),Draefendi's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(40),,
ST_ACHIEVEMENT_NAME(41),Aeber's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(41),,
ST_ACHIEVEMENT_NAME(42),Balogar's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(42),,
ST_ACHIEVEMENT_NAME(43),Steorra's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(43),,
ST_ACHIEVEMENT_NAME(44),Winnehild's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(44),,
ST_ACHIEVEMENT_NAME(45),Dreisang's Wisdom,
ST_ACHIEVEMENT_DESCRIPTION(45),,
ST_ACHIEVEMENT_NAME(46),Aelfric's Auspices,
ST_ACHIEVEMENT_DESCRIPTION(46),,
ST_ACHIEVEMENT_NAME(47),Alephan's Enlightenment,
ST_ACHIEVEMENT_DESCRIPTION(47),,
ST_ACHIEVEMENT_NAME(48),Bifelgan's Bounty,
ST_ACHIEVEMENT_DESCRIPTION(48),,
ST_ACHIEVEMENT_NAME(49),Brand's Thunder,
ST_ACHIEVEMENT_DESCRIPTION(49),,
ST_ACHIEVEMENT_NAME(50),Sealticge's Seduction,
ST_ACHIEVEMENT_DESCRIPTION(50),,
ST_ACHIEVEMENT_NAME(51),Dohter's Charity,
ST_ACHIEVEMENT_DESCRIPTION(51),,
ST_ACHIEVEMENT_NAME(52),Draefendi's Rage,
ST_ACHIEVEMENT_DESCRIPTION(52),,
ST_ACHIEVEMENT_NAME(53),Aeber's Reckoning,
ST_ACHIEVEMENT_DESCRIPTION(53),,
ST_ACHIEVEMENT_NAME(54),Balogar's Blade,
ST_ACHIEVEMENT_DESCRIPTION(54),,
ST_ACHIEVEMENT_NAME(55),Steorra's Prophecy,
ST_ACHIEVEMENT_DESCRIPTION(55),,
ST_ACHIEVEMENT_NAME(56),Winnehild's Battle Cry,
ST_ACHIEVEMENT_DESCRIPTION(56),,
ST_ACHIEVEMENT_NAME(57),Dreisang's Spell,
ST_ACHIEVEMENT_DESCRIPTION(57),,
ST_ACHIEVEMENT_NAME(58),Lone Traveler,
ST_ACHIEVEMENT_DESCRIPTION(58),,
ST_ACHIEVEMENT_NAME(59),Fleetfoot,
ST_ACHIEVEMENT_DESCRIPTION(59),,
ST_ACHIEVEMENT_NAME(60),Closure,
ST_ACHIEVEMENT_DESCRIPTION(60),,
ST_ACHIEVEMENT_NAME(61),Worth the Detour,
ST_ACHIEVEMENT_DESCRIPTION(61),,
ST_ACHIEVEMENT_NAME(62),Master of Orsterra,
ST_ACHIEVEMENT_DESCRIPTION(62),,
ST_ACHIEVEMENT_NAME(63),Skillful,
ST_ACHIEVEMENT_DESCRIPTION(63),,
ST_ACHIEVEMENT_NAME(64),Full Support,
ST_ACHIEVEMENT_DESCRIPTION(64),,
ST_ACHIEVEMENT_NAME(65),Treasure Hunter,
ST_ACHIEVEMENT_DESCRIPTION(65),,
ST_ACHIEVEMENT_NAME(66),Eagle-Eyed,
ST_ACHIEVEMENT_DESCRIPTION(66),,
ST_ACHIEVEMENT_NAME(67),Strategist,
ST_ACHIEVEMENT_DESCRIPTION(67),,
ST_ACHIEVEMENT_NAME(68),Collector,
ST_ACHIEVEMENT_DESCRIPTION(68),,
ST_ACHIEVEMENT_NAME(69),The Strongest Sojourner,
ST_ACHIEVEMENT_DESCRIPTION(69),,
ST_ACHIEVEMENT_NAME(70),Moneybags,
ST_ACHIEVEMENT_DESCRIPTION(70),,
ST_ACHIEVEMENT_NAME(71),Millionaire,
ST_ACHIEVEMENT_DESCRIPTION(71),,
ST_ACHIEVEMENT_NAME(72),Better Safe Than Sorry,
ST_ACHIEVEMENT_DESCRIPTION(72),,
ST_ACHIEVEMENT_NAME(73),Novice Scrapper,
ST_ACHIEVEMENT_DESCRIPTION(73),,
ST_ACHIEVEMENT_NAME(74),Fighter,
ST_ACHIEVEMENT_DESCRIPTION(74),,
ST_ACHIEVEMENT_NAME(75),Brawler,
ST_ACHIEVEMENT_DESCRIPTION(75),,
ST_ACHIEVEMENT_NAME(76),Ultimate Power,
ST_ACHIEVEMENT_DESCRIPTION(76),,
ST_ACHIEVEMENT_NAME(77),A Story All Your Own,
ST_ACHIEVEMENT_DESCRIPTION(77),,
ST_ACHIEVEMENT_NAME(78),Traveler,
ST_ACHIEVEMENT_DESCRIPTION(78),,
ST_ACHIEVEMENT_NAME(79),Seasoned Traveler,
ST_ACHIEVEMENT_DESCRIPTION(79),,
ST_ACHIEVEMENT_NAME(80),Renowned Traveler,
ST_ACHIEVEMENT_DESCRIPTION(80),,
ST_ACHIEVEMENT_NAME(81),Training,
ST_ACHIEVEMENT_DESCRIPTION(81),,
ST_ACHIEVEMENT_NAME(82),Lead the Way,
ST_ACHIEVEMENT_DESCRIPTION(82),,
ST_ACHIEVEMENT_NAME(83),In the Know,
ST_ACHIEVEMENT_DESCRIPTION(83),,
ST_ACHIEVEMENT_NAME(84),Bargain Hunter,
ST_ACHIEVEMENT_DESCRIPTION(84),,
ST_ACHIEVEMENT_NAME(85),A New Challenger,
ST_ACHIEVEMENT_DESCRIPTION(85),,
ST_ACHIEVEMENT_NAME(86),Irresistible,
ST_ACHIEVEMENT_DESCRIPTION(86),,
ST_ACHIEVEMENT_NAME(87),Tell Me More,
ST_ACHIEVEMENT_DESCRIPTION(87),,
ST_ACHIEVEMENT_NAME(88),Sticky-Fingered,
ST_ACHIEVEMENT_DESCRIPTION(88),,
ST_ACHIEVEMENT_NAME(89),Start Something,
ST_ACHIEVEMENT_DESCRIPTION(89),,
ST_STR128_DISCLAIMERS(0),"No endorsement or affiliation is intended between Stadia and the manufacturers of non-Stadia controllers or consoles. STADIA, the Stadia beacon, Google, and related marks and logos are trademarks of Google LLC. All other trademarks are the property of their respective owners.",
eBAR_MENU_IMPROVE_RELATION_TEXT_TSCN(0),"For ⑳{0}, the tavern keeper will spread good rumors about you in town.\n\nPay the price?",
eSEX_MAN(0),Male,
eSEX_WOMAN(0),Female,
eDIALOG_YES(0),Yes,
eDIALOG_NO(0),No,
eDIALOG_CANCEL(0),Cancel,
eDIALOG_OK(0),OK,
eMONEY_UNIT(0),⑳,
eDIALOG_CLOSE(0),Close,
eJOB_POINT(0),JP,
eWEAK(0),VULNERABLE,
eBREAK(0),BREAK,
eMiss(0),Miss,
eEXP(0),EXP,
eNEXTTURN(0),NEXT TURN,
eBATTLE_TAME_MONSTER_RELEASE(0),The {0} returned to the wild...,
eBATTLE_INVADE_CONFIRM_DIALOG(0),Provoke {0}?,
eBATTLE_TAME_CONFIRM_DIALOG(0),You cannot take along any more beasts.\n\nRelease one of the beasts you've already captured to make room for your latest catch?,
eBATTLE_TAME_CANCEL_DIALOG(0),Release the monster you've just caught?,
eBATTLE_THEOBOLT_SPECIAL_TEXT(0),{0} has knowledge of your foe!,
eBATTLE_REGIST_NONE(0),,
eBATTLE_REGIST_WEAK(0),,
eBATTLE_REGIST_REDUCE(0),,
eBATTLE_REGIST_INVALID(0),,
eBATTLE_REGIST_ABSORB(0),,
eBATTLE_CALL_SUP_CONFIRM_DIALOG(0),Summon {0} for support?,
eBATTLE_SUPPORTER_ESCAPE(0),{0} retreated from battle.,
eBATTLE_SUPPORTER_RETURN(0),Your companion's duty is done.,
eBATTLE_SUPPORTER_LIMITOVER(0),Your companion returned whence they came...,
eBATTLE_SUPPORTER_LIMITOVER2(0),Your companions returned whence they came...,
eBATTLE_ENEMY_BREAKDOWN(0),,
eBATTLE_ESCAPE_SUCCESS(0),You successfully escaped!,
eBATTLE_ESCAPE_FAILED(0),You were unable to escape...,
eBATTLE_STEAL_SUCCESS(0),Stole {0}!,
eBATTLE_STEAL_SUCCESS_ALL(0),Stole all sorts of things!,
eBATTLE_STEAL_FAILED(0),You were unable to steal anything...,
eBATTLE_STEAL_GUARD(0),This foe has nothing of value...,
eBATTLE_ITEM_NOT_HAVE(0),This foe has nothing left to steal...,
eBATTLE_MONEY_SUCCESS(0),You collected ⑳{0}!,
eBATTLE_MONEY_FAILED(0),You failed to collect any coin...,
eBATTLE_MONEY_GUARD(0),This foe has no coin to collect...,
eBaTTLE_MONEY_NOT_HAVE(0),You've collected all you can from this foe...,
eBATTLE_START_ADVANTAGE(0),You surprised your foe!,
eBATTLE_START_BACK_ATTACK(0),You were caught by surprise!,
eBATTLE_TAME_MONSTER_SUCCESS(0),You captured the beast!,
eBATTLE_TAME_MONSTER_FAILED(0),The beast eludes you...,
eBATTLE_TAME_MONSTER_OVER(0),Your Monster Roster is full...,
eBATTLE_TAME_MONSTER_GET(0),Capture this foe?,
eBATTLE_STUDY(0),Study Foe,
eBATTLE_TUIDE(0),Incidental Attack,
eBATTLE_OKAWARI(0),Second Serving,
eBATTLE_HANGEKI(0),Eye for an Eye,
eBATTLE_REFLEC(0),Reflect,
EXEC_REFLECTION_ENEMY(0),Reflect,
eBATTLE_COUNTER(0),Eye for an Eye,
eBATTLE_SWAY(0),Sidestep,
eBATTLE_RERAISE(0),Revive,
eBATTLE_EXP_UP(0),Now earning {0} times as much EXP!,
eBATTLE_JP_UP(0),Now earning {0} times as much JP!,
eBATTLE_EXP_STOP(0),Already earning {0} times as much EXP!,
eBATTLE_JP_STOP(0),Already earning {0} times as much JP!,
eBATTLE_ENEMY_COVER(0),Protected!,
eBATTLE_INTIMIDATION(0),Intimidate,
eBATTLE_ANGELS_PROTECTION(0),Divine Aura,
eBATTLE_SKIP_SYNCOPE(0),{0} is unconscious...,
eBATTLE_SKIP_SLEEP(0),{0} is asleep...,
eBATTLE_SKIP_STONE(0),{0} has been turned to stone!,
eBATTLE_SKIP_RUNAWAY(0),{0} slipped and fell...,
eBATTLE_MERCHANT_SP(0),Bifelgan grants you a boon of ⑳{0}!,
eBATTLE_STEAL_SUCCESS_PERCENT(0),Chance of success,
eBATTLE_STEAL_NO(0),Unable to steal,
eBATTLE_STEAL_END(0),Empty-handed,
eBATTLE_MONEY_SUCCESS_PERCENT(0),Chance of success,
eBATTLE_MONEY_NO(0),Unable to collect,
eBATTLE_MONEY_END(0),Empty-handed,
eBATTLE_TAME_SUCCESS_PERCENT(0),Chance of success,
eBATTLE_TAME_NO(0),Untameable,
eBATTLE_SEARCH_HP(0),HP: {0} / {1},
eBATTLE_ABILITY_ALL(0),{0}'s abilities will affect all!,
eBATTLE_ITEM_ALL(0),{0}'s items will affect all!,
eBATTLE_SELF_ALL(0),{0}'s augments will affect the entire party!,
eBATTLE_MAGIC_ONE(0),{0}'s magic will be focused on a single target!,
eBATTLE_ABILITY_RE(0),{0}'s abilities will be performed more than once!,
eBATTLE_BAKU_BREAK(0),Your weapon broke...,
eBATTLE_COMMAND_COUNT_FORMAT(0),x {0},
eBATTLE_TAME(2),,
eBATTLE_TAME(3),,
eBATTLE_TAME(4),,
eBATTLE_TAME(5),,
eBATTLE_TAME(6),,
eBATTLE_TAME(7),,
BUFF08(0),,
BUFF09(0),,
BUFF10(0),,
BUFF11(0),,
BUFF12(0),,
BUFF13(0),,
BUFF14(0),,
BUFF15(0),,
BUFF16(0),,
BUFF17(0),,
BUFF18(0),,
BUFF19(0),,
BUFF20(0),,
BUFF21(0),,
BUFF22(0),,
BUFF23(0),,
BUFF24(0),,
BUFF25(0),,
BUFF26(0),,
BUFF27(0),,
BUFF28(0),,
BUFF29(0),,
BUFF30(0),,
BUFF31(0),,
DEBUFF01(0),,
DEBUFF02(0),,
DEBUFF03(0),,
DEBUFF04(0),,
DEBUFF05(0),,
DEBUFF06(0),,
DEBUFF07(0),,
DEBUFF08(0),,
DEBUFF09(0),,
DEBUFF10(0),,
DEBUFF11(0),,
DEBUFF12(0),,
DEBUFF13(0),,
DEBUFF14(0),,
DEBUFF15(0),,
DEBUFF16(0),,
DEBUFF17(0),,
DEBUFF18(0),,
BASIC_COMMAND_001(0),None,
BASIC_COMMAND_002(0),Attack,
BASIC_COMMAND_003(0),Attack,
BASIC_COMMAND_004(0),Attack,
BASIC_COMMAND_005(0),Attack,
BASIC_COMMAND_006(0),Item,
BASIC_COMMAND_007(0),Defend,
BASIC_COMMAND_008(0),Flee,
BASIC_COMMAND_009(0),Merchant Skills,
BASIC_COMMAND_010(0),Thief Skills,
BASIC_COMMAND_011(0),Warrior Skills,
BASIC_COMMAND_012(0),Hunter Skills,
BASIC_COMMAND_013(0),Cleric Skills,
BASIC_COMMAND_014(0),Dancer Skills,
BASIC_COMMAND_015(0),Scholar Skills,
BASIC_COMMAND_016(0),Apothecary Skills,
BASIC_COMMAND_017(0),Warmaster Skills,
